Timestamp,Milliseconds,X,Y,Z
2018-09-15 19:27:27,2422,-6.7286224,-1.8711853,15.326035
2018-09-15 19:27:27,2432,-1.1437683,-1.3471527,9.633499
2018-09-15 19:27:27,2442,3.9912262,-0.6006012,4.6731873
2018-09-15 19:27:27,2452,11.557327,1.3280182,-2.0003967
2018-09-15 19:27:27,2463,21.035309,3.522232,-12.2608185
2018-09-15 19:27:27,2472,24.555145,4.7401886,-16.431519
2018-09-15 19:27:27,2482,25.883163,4.9483643,-18.28595
2018-09-15 19:27:27,2492,25.940598,4.7449646,-19.51825
2018-09-15 19:27:27,2503,24.229721,4.3573303,-19.12822
2018-09-15 19:27:27,2517,18.075378,3.349945,-14.708679
2018-09-15 19:27:27,2522,12.674789,0.6460571,-9.157333
2018-09-15 19:27:27,2532,6.4462585,-1.3926239,-2.5627136
2018-09-15 19:27:27,2542,0.15074158,-2.1678925,4.8311157
2018-09-15 19:27:27,2553,-5.403,-2.038681,11.93779
2018-09-15 19:27:27,2562,-8.877365,-1.655838,16.728226
2018-09-15 19:27:27,2572,-10.655243,-1.6175537,20.516068
2018-09-15 19:27:27,2582,-5.4915314,-1.4452667,17.283356
2018-09-15 19:27:27,2592,0.64367676,-0.7393799,10.68396
2018-09-15 19:27:27,2603,4.1826477,-0.102890015,6.90329
2018-09-15 19:27:27,2612,13.507492,2.4813538,-3.048462
2018-09-15 19:27:27,2622,20.22174,3.6562347,-10.810776
2018-09-15 19:27:27,2632,24.586258,5.67099,-18.764511
2018-09-15 19:27:27,2643,24.79683,5.682953,-21.607193
2018-09-15 19:27:27,2652,24.3685,5.2259216,-21.750763
2018-09-15 19:27:27,2662,22.31546,4.8311157,-18.98227
2018-09-15 19:27:27,2672,18.932007,4.302292,-15.290131
2018-09-15 19:27:27,2682,11.803787,1.2705841,-7.5086823
2018-09-15 19:27:27,2693,7.228714,0.20100403,-2.6727905
2018-09-15 19:27:27,2702,0.90927124,-0.38046265,4.290329
2018-09-15 19:27:27,2712,-4.240082,-0.42114258,10.265213
2018-09-15 19:27:27,2723,-8.953949,0.009567261,16.893326
2018-09-15 19:27:27,2732,-9.147766,0.24885559,19.097122
2018-09-15 19:27:27,2742,-5.3072815,0.5001068,16.989044
2018-09-15 19:27:27,2752,-0.13400269,1.380661,11.263016
2018-09-15 19:27:27,2762,4.400406,2.3497467,5.9605255
2018-09-15 19:27:27,2773,11.018951,3.9649048,-1.3997955
2018-09-15 19:27:27,2782,16.709076,4.8670044,-8.260025
2018-09-15 19:27:27,2792,20.130814,6.254837,-16.256836
2018-09-15 19:27:27,2802,21.073593,6.520447,-19.018158
2018-09-15 19:27:27,2813,20.63092,5.8217316,-20.135605
2018-09-15 19:27:27,2822,19.62593,5.3647156,-19.02533
2018-09-15 19:27:27,2832,17.438889,4.9292145,-15.407379
2018-09-15 19:27:27,2842,13.316055,3.7160492,-11.181656
2018-09-15 19:27:27,2852,8.429916,2.5627136,-6.5563354
2018-09-15 19:27:27,2863,2.8713837,1.1652985,-0.43310547
2018-09-15 19:27:27,2872,-1.2705841,0.8039856,4.5009003
2018-09-15 19:27:27,2882,-7.6378937,0.8805542,13.098312
2018-09-15 19:27:27,2892,-9.477966,1.138977,16.754547
2018-09-15 19:27:27,2903,-8.750549,1.4931183,17.529816
2018-09-15 19:27:27,2912,-5.235489,2.1559296,14.924042
2018-09-15 19:27:27,2922,-0.7010956,3.053238,9.511475
2018-09-15 19:27:27,2932,5.95813,4.4195404,1.3328094
2018-09-15 19:27:27,2943,10.305893,5.168503,-4.2472534
2018-09-15 19:27:27,2952,15.969696,6.0753784,-12.988235
2018-09-15 19:27:27,2962,18.020355,6.661621,-16.737793
2018-09-15 19:27:27,2972,19.269394,6.9224396,-20.85823
2018-09-15 19:27:27,2982,18.589844,5.89592,-20.776886
2018-09-15 19:27:27,2993,17.144577,5.4628143,-18.55394
2018-09-15 19:27:27,3002,13.8424835,4.967499,-14.900101
2018-09-15 19:27:27,3012,9.233902,2.8953094,-9.9756775
2018-09-15 19:27:27,3023,4.065399,2.445465,-5.0105743
2018-09-15 19:27:27,3032,-1.8161469,1.8424683,1.380661
2018-09-15 19:27:27,3042,-6.953537,1.3495483,8.585449
2018-09-15 19:27:27,3052,-9.96611,1.3016968,13.720444
2018-09-15 19:27:27,3062,-11.861221,2.0554352,20.300705
2018-09-15 19:27:27,3073,-9.489929,2.3090668,19.812576
2018-09-15 19:27:27,3082,-4.6013947,3.2159576,14.785248
2018-09-15 19:27:27,3092,0.95951843,4.118042,7.0660095
2018-09-15 19:27:27,3102,8.977875,4.9507446,-4.0749817
2018-09-15 19:27:27,3112,14.811569,5.5298157,-13.177277
2018-09-15 19:27:27,3123,17.790634,6.1495514,-20.267212
2018-09-15 19:27:27,3132,17.058426,6.8745728,-22.987854
2018-09-15 19:27:27,3142,16.27359,6.262024,-22.648071
2018-09-15 19:27:28,3152,17.876785,5.9940186,-21.59523
2018-09-15 19:27:28,3163,18.546768,4.936386,-20.748169
2018-09-15 19:27:28,3172,13.892731,4.347763,-19.061234
2018-09-15 19:27:28,3182,8.305481,1.6725769,-12.813568
2018-09-15 19:27:28,3192,2.5746765,0.61735535,-4.445862
2018-09-15 19:27:28,3203,-5.139786,0.35653687,4.811966
2018-09-15 19:27:28,3212,-10.511673,0.7346039,11.633911
2018-09-15 19:27:28,3222,-15.003006,0.7154541,19.980072
2018-09-15 19:27:28,3232,-14.967102,1.6247253,25.51706
2018-09-15 19:27:28,3242,-11.358734,1.7395782,22.198212
2018-09-15 19:27:28,3253,-5.50589,2.0195465,13.715652
2018-09-15 19:27:28,3262,0.8566284,2.8307037,3.603592
2018-09-15 19:27:28,3273,8.173889,3.6059875,-8.338989
2018-09-15 19:27:28,3282,14.474182,3.2949219,-12.926025
2018-09-15 19:27:28,3292,19.527832,4.47937,-17.979675
2018-09-15 19:27:28,3302,19.606796,6.752548,-24.205795
2018-09-15 19:27:28,3312,19.42015,6.1447754,-26.557938
2018-09-15 19:27:28,3323,17.838486,5.13739,-25.330414
2018-09-15 19:27:28,3332,14.352158,4.515259,-19.879578
2018-09-15 19:27:28,3342,11.425735,3.385849,-16.261627
2018-09-15 19:27:28,3352,4.5511475,2.148758,-9.418152
2018-09-15 19:27:28,3363,-4.0390778,1.1413727,0.4355011
2018-09-15 19:27:28,3372,-10.009171,1.1126556,9.135803
2018-09-15 19:27:28,3382,-13.734802,0.8949127,18.171097
2018-09-15 19:27:28,3393,-14.072189,0.8159485,27.091537
